spikerate,info,index,genotype,months,.
32,25.3265314,484,Degenerative,1,
28.11111111,19.38429549,489,Degenerative,1,
20.33333333,20.30832971,490,Degenerative,1,
38.22222222,25.07459207,506,Degenerative,1,
34.11111111,24.78751459,509,Degenerative,1,
31,26.73978463,513,Degenerative,1,
23,24.61864119,514,Degenerative,1,
12.44444444,19.36943406,4,Degenerative,1,
41.22222222,29.95563124,23,Degenerative,1,
38.66666667,44.48291088,41,Degenerative,1,
32.44444444,35.06577623,79,Degenerative,1,
44.11111111,35.71347365,80,Degenerative,1,
58.55555556,45.43919771,95,Degenerative,1,
57.77777778,48.25559718,99,Degenerative,1,
21.77777778,25.62847681,101,Degenerative,1,
24.44444444,22.7147735,104,Degenerative,1,
31,36.40321304,108,Degenerative,1,
36.44444444,34.55385169,111,Degenerative,1,
30.88888889,41.97722589,120,Degenerative,1,
61.22222222,46.73549293,129,Degenerative,1,
12.66666667,24.35396248,135,Degenerative,1,
35.11111111,43.09109492,148,Degenerative,1,
11.55555556,20.8115027,152,Degenerative,1,
33.88888889,21.8253545,169,Degenerative,1,
37.11111111,41.3766919,172,Degenerative,1,
23.55555556,19.22393024,176,Degenerative,1,
47.22222222,35.18554567,192,Degenerative,1,
20.22222222,19.70338911,197,Degenerative,1,
31.11111111,38.86552495,209,Degenerative,1,
30.33333333,38.14866898,224,Degenerative,1,
22.22222222,26.43934443,245,Degenerative,1,
32.55555556,32.53314656,246,Degenerative,1,
36.88888889,24.5813546,248,Degenerative,1,
35.22222222,38.45835684,263,Degenerative,1,
30,35.18639828,265,Degenerative,1,
32.22222222,37.79983773,266,Degenerative,1,
53.11111111,41.97809412,270,Degenerative,1,
10.11111111,19.17288791,284,Degenerative,1,
55.55555556,41.84961655,285,Degenerative,1,
18,22.83978121,288,Degenerative,1,
35,33.93005739,295,Degenerative,1,
11.11111111,19.46661473,305,Degenerative,1,
11.11111111,20.22377268,325,Degenerative,1,
38.88888889,25.63662967,332,Degenerative,1,
33.33333333,23.61135343,345,Degenerative,1,
42.77777778,31.23347115,356,Degenerative,1,
30.33333333,30.64751421,379,Degenerative,1,
23.88888889,29.32185154,409,Degenerative,1,
43.33333333,28.97298356,417,Degenerative,1,
52.77777778,39.47195518,432,Degenerative,1,
10.55555556,19.66812939,433,Degenerative,1,
55.88888889,40.76008956,457,Degenerative,1,
17.11111111,26.09893223,472,Degenerative,1,
19.44444444,19.51917511,478,Degenerative,1,
16.11111111,25.81566271,480,Degenerative,1,
24,19.4547983,500,Degenerative,1,
25.11111111,32.46901644,502,Degenerative,1,
55.77777778,40.58068978,509,Degenerative,1,
14.44444444,23.7499615,521,Degenerative,1,
41.44444444,44.47291965,522,Degenerative,1,
32,36.51642359,546,Degenerative,1,
31.11111111,36.06327138,547,Degenerative,1,
48.88888889,42.33490477,550,Degenerative,1,
33.88888889,13.5760747,105,Degenerative,2,
11.22222222,10.93826972,106,Degenerative,2,
29.44444444,17.44705611,114,Degenerative,2,
34,24.32118981,120,Degenerative,2,
7,14.25066539,121,Degenerative,2,
9.444444444,9.62235542,123,Degenerative,2,
7.111111111,13.57220647,124,Degenerative,2,
36.22222222,25.49733512,138,Degenerative,2,
22.44444444,12.21855695,143,Degenerative,2,
7.222222222,11.73748371,144,Degenerative,2,
6.111111111,9.983338846,145,Degenerative,2,
15.88888889,19.14581638,158,Degenerative,2,
15.11111111,11.81401785,159,Degenerative,2,
18.44444444,16.07894011,160,Degenerative,2,
8.888888889,10.02471891,164,Degenerative,2,
27.11111111,20.07601267,172,Degenerative,2,
4.111111111,9.282905384,177,Degenerative,2,
5,10.92118331,186,Degenerative,2,
6.444444444,10.1163271,194,Degenerative,2,
49.33333333,24.92904998,205,Degenerative,2,
18.22222222,10.30414251,208,Degenerative,2,
22.44444444,12.77213322,209,Degenerative,2,
6,12.78625353,213,Degenerative,2,
9,10.09597825,238,Degenerative,2,
17.44444444,28.19889646,245,Degenerative,2,
33.22222222,19.15790383,307,Degenerative,2,
6.666666667,10.76826575,325,Degenerative,2,
30.22222222,17.50929251,336,Degenerative,2,
39.55555556,32.33287782,340,Degenerative,2,
16.33333333,23.44332999,341,Degenerative,2,
7.888888889,12.88694012,346,Degenerative,2,
15.66666667,9.867373709,355,Degenerative,2,
32.44444444,36.26245697,356,Degenerative,2,
10.22222222,19.17949873,362,Degenerative,2,
5.555555556,11.26231669,369,Degenerative,2,
55.22222222,34.5541983,373,Degenerative,2,
30.33333333,20.51030467,389,Degenerative,2,
10.22222222,16.06969098,392,Degenerative,2,
5.222222222,9.943729715,393,Degenerative,2,
8.666666667,14.19993851,415,Degenerative,2,
6.555555556,11.45710047,417,Degenerative,2,
26.88888889,19.90624072,418,Degenerative,2,
53.44444444,45.645133,420,Degenerative,2,
14.77777778,21.11309494,424,Degenerative,2,
19.44444444,12.83566459,439,Degenerative,2,
11.22222222,11.32556404,443,Degenerative,2,
18.11111111,10.13947618,460,Degenerative,2,
37.22222222,25.45240376,74,Degenerative,2,
33,31.15478644,76,Degenerative,2,
18.11111111,29.38225171,84,Degenerative,2,
13.22222222,23.02278948,94,Degenerative,2,
38.66666667,33.98711365,125,Degenerative,2,
34.22222222,21.82312445,144,Degenerative,2,
23.77777778,33.47401112,148,Degenerative,2,
47.33333333,49.92956316,190,Degenerative,2,
27.33333333,28.00248246,227,Degenerative,2,
49.55555556,36.73089845,238,Degenerative,2,
47.11111111,50.78832066,239,Degenerative,2,
54,49.74561953,248,Degenerative,2,
39.44444444,29.31412827,260,Degenerative,2,
41.55555556,36.17165879,261,Degenerative,2,
42.66666667,41.15789207,271,Degenerative,2,
39.77777778,31.18141477,277,Degenerative,2,
30,28.4345363,283,Degenerative,2,
28.55555556,27.5270856,290,Degenerative,2,
38.77777778,40.28483739,297,Degenerative,2,
35.44444444,22.85079613,303,Degenerative,2,
34.44444444,32.57525733,305,Degenerative,2,
33.88888889,32.80719383,306,Degenerative,2,
22.66666667,24.85037929,309,Degenerative,2,
26.22222222,28.76361422,311,Degenerative,2,
39.77777778,25.7573703,319,Degenerative,2,
35.33333333,33.14816402,323,Degenerative,2,
20.33333333,22.13659934,324,Degenerative,2,
40,24.21433094,332,Degenerative,2,
